bucket,decls,missing,consumers,path
DOCUMENT,22,22,7,include/uft/ml/uft_ml_decoder.h
DOCUMENT,22,22,1,include/uft/samdisk/uft_samdisk.h
DOCUMENT,21,21,7,include/uft/core/uft_track_base.h
DOCUMENT,21,21,1,include/uft/hal/internal/uft_pauline.h
DOCUMENT,20,20,3,include/uft/uft_pll_unified.h
DOCUMENT,20,20,3,include/uft/hal/uft_applesauce.h
DOCUMENT,20,20,1,include/uft/hal/uft_fc5025.h
DOCUMENT,20,20,1,include/uft/hal/uft_latency_tracking.h
DOCUMENT,20,20,1,include/uft/web/uft_web_viewer.h
DOCUMENT,19,19,2,include/uft/uft_flux_statistics.h
DOCUMENT,19,19,1,include/uft/flux/uft_fluxstat.h
DOCUMENT,19,19,1,include/uft/hal/internal/uft_linux_fdc.h
DOCUMENT,18,18,1,include/uft/uft_bitstream_preserve.h
DOCUMENT,18,18,1,include/uft/uft_mmap.h
DOCUMENT,18,18,19,include/uft/uft_unified_image.h
DOCUMENT,18,18,2,include/uft/uft_writer_backend.h
DOCUMENT,18,18,3,include/uft/fs/uft_fat_atari.h
DOCUMENT,18,18,1,include/uft/hal/internal/uft_zoomtape.h
DOCUMENT,17,17,3,include/uft/uft_gui_bridge.h
DOCUMENT,17,17,3,include/uft/uft_settings.h
DOCUMENT,17,17,1,include/uft/hardware/uft_gw2dmk.h
DOCUMENT,17,17,1,include/uft/hal/internal/uft_ieee488.h
DOCUMENT,17,17,1,include/uft/hal/internal/uft_xa1541.h
DOCUMENT,16,16,3,include/uft/uft_capability.h
DOCUMENT,16,16,1,include/uft/uft_gui_params.h
DOCUMENT,16,16,1,include/uft/decoder/uft_forensic_flux_decoder.h
DOCUMENT,16,16,3,include/uft/flux/uft_adaptive_decoder.h
DOCUMENT,16,16,1,include/uft/hardware/uft_crosstalk_filter.h
DOCUMENT,16,16,7,include/uft/recovery/uft_recovery.h
DOCUMENT,15,15,16,include/uft/uft_memory.h
DOCUMENT,15,15,3,include/uft/uft_process.h
DOCUMENT,15,15,1,include/uft/uft_write_preview.h
DOCUMENT,15,15,3,include/uft/core/uft_crc_unified.h
DOCUMENT,15,15,1,include/uft/core/uft_histogram.h
DOCUMENT,15,15,1,include/uft/formats/uft_tc.h
DOCUMENT,15,15,2,include/uft/track/uft_track_generator.h
DOCUMENT,15,15,1,include/uft/track/uft_track_layout.h
DOCUMENT,14,14,3,include/uft/uft_crc_cache.h
DOCUMENT,14,14,6,include/uft/uft_device_manager.h
DOCUMENT,14,14,1,include/uft/uft_usb.h
DOCUMENT,14,14,1,include/uft/core/uft_limits.h
DOCUMENT,14,14,1,include/uft/decoder/uft_gcr.h
DOCUMENT,13,13,1,include/uft/uft_forensic_report.h
DOCUMENT,13,13,2,include/uft/formats/uft_dfi.h
DOCUMENT,13,13,1,include/uft/ir/uft_ir_timing.h
DOCUMENT,12,12,1,include/uft/flux/uft_pattern_generator.h
DOCUMENT,12,12,1,include/uft/flux/uft_sector_overlay.h
DOCUMENT,12,12,4,include/uft/fs/uft_fat_boot.h
DOCUMENT,12,12,1,include/uft/hardware/uft_latency_tracking.h
DOCUMENT,12,12,1,include/uft/hardware/uft_write_precomp.h
DOCUMENT,12,12,2,include/uft/track/uft_sector_extractor.h
DOCUMENT,11,11,4,include/uft/uft_apple_gcr.h
DOCUMENT,11,11,1,include/uft/uft_cache.h
DOCUMENT,11,11,1,include/uft/uft_test_framework.h
DOCUMENT,11,11,12,include/uft/uft_tool_adapter.h
DOCUMENT,11,11,7,include/uft/core/uft_encoding.h
DOCUMENT,10,10,3,include/uft/uft_format_verify.h
DOCUMENT,10,10,1,include/uft/uft_xdf.h
DOCUMENT,10,10,1,include/uft/crc/uft_crc_extended.h
DOCUMENT,10,10,7,include/uft/decoder/uft_pll.h
DOCUMENT,10,10,1,include/uft/flux/uft_flux_instability.h
DOCUMENT,10,10,1,include/uft/formats/uft_x68k.h
DOCUMENT,10,10,2,include/uft/generate/uft_track_generator.h
DELETE,34,34,0,include/uft/uft_exfat.h
DELETE,34,34,0,include/uft/encoding/uft_decoders_v2.h
DELETE,26,26,0,include/uft/uft_bootblock_scanner.h
DELETE,26,26,0,include/uft/uft_decoder_adapter.h
DELETE,25,25,0,include/uft/uft_atari_image.h
DELETE,25,25,0,include/uft/uft_hfs_extended.h
DELETE,20,20,0,include/uft/flux/uft_kryoflux_streaming.h
DELETE,23,19,0,include/uft/uft_fat12_v2.h
DELETE,17,17,0,include/uft/uft_apple_fs.h
DELETE,18,17,0,include/uft/recovery/uft_recovery_pipeline.h
DELETE,16,16,0,include/uft/uft_gui_params_complete.h
DELETE,15,15,0,include/uft/uft_p64.h
DELETE,15,15,0,include/uft/flux/uft_flux_cluster.h
DELETE,14,14,0,include/uft/uft_forensic_advanced.h
DELETE,14,14,0,include/uft/uft_gcr_nibtools.h
DELETE,16,14,0,include/uft/parsers/uft_scp_multirev.h
DELETE,13,13,0,include/uft/uft_hfs.h
DELETE,13,13,0,include/uft/fs/uft_hfs_extended.h
DELETE,11,11,0,include/uft/recovery/uft_disk_recovery.h
DELETE,10,10,0,include/uft/uft_dmf.h
DELETE,11,10,0,include/uft/uft_amiga_bootblock.h
DELETE,11,10,0,include/uft/flux/uft_kryoflux_parser.h
DELETE,10,9,0,include/uft/uft_bbc.h
DELETE,10,9,0,include/uft/flux/uft_mfm_pll.h
